,step,dice_score,learning_rate,batch_size,encoder
0,2960,0.904825,0.0005395030966670228,128,resnet50
1,760,0.902835,0.0008927180304353625,384,resnet50
2,600,0.902801,0.0008927180304353625,256,resnet50
3,440,0.901057,0.0007348118405270448,256,resnet101
4,3220,0.900119,0.0005105903209394755,128,resnet101
5,760,0.899997,0.0005395030966670228,384,resnet50
6,2920,0.899734,0.00039913058785616786,128,resnet50
7,3600,0.899423,0.00039687933304443713,128,resnet50
8,680,0.899118,0.0007348118405270448,384,resnet50
9,3400,0.89904,0.0008927180304353625,128,resnet101
10,3940,0.898883,0.00039687933304443713,128,resnet101
11,4880,0.898593,0.0008927180304353625,128,resnet50
12,4960,0.898542,0.0005105903209394755,128,resnet50
13,720,0.898533,0.0005105903209394755,256,resnet50
14,3240,0.898404,0.00014321698289111517,128,resnet101
15,3960,0.897534,0.00039913058785616786,256,resnet101
16,2520,0.89711,0.00039913058785616786,128,resnet101
17,4840,0.897017,0.0005395030966670228,128,resnet101
18,1660,0.89698,0.00023688639503640778,128,resnet101
19,500,0.896966,0.0005105903209394755,256,resnet101
20,440,0.896487,0.0005395030966670228,256,resnet101
21,620,0.895513,0.0007348118405270448,256,resnet50
22,4900,0.895502,0.0001143098387631322,128,resnet101
23,3060,0.895237,0.00014321698289111517,128,resnet50
24,4720,0.895183,0.0001432249371823025,128,resnet50
25,3420,0.894758,0.0007348118405270448,128,resnet101
26,3620,0.89456,0.0007348118405270448,128,resnet50
27,1040,0.894446,0.00039687933304443713,256,resnet50
28,440,0.89384,0.0005395030966670228,256,resnet50
29,2780,0.893395,0.0001143098387631322,128,resnet50
30,1020,0.892024,0.00039687933304443713,256,resnet101
31,4540,0.891972,0.0001432249371823025,128,resnet101
32,900,0.891726,0.00039687933304443713,384,resnet50
33,4540,0.891179,0.00023688639503640778,128,resnet50
34,600,0.890578,0.0005105903209394755,384,resnet50
35,620,0.889203,0.00039913058785616786,384,resnet50
36,1500,0.88666,0.00039913058785616786,256,resnet50
37,1620,0.886582,0.00023688639503640778,256,resnet101
38,4600,0.886462,0.0001143098387631322,256,resnet101
39,2160,0.88623,0.0005395030966670228,128,resnet18
40,1480,0.886063,0.00023688639503640778,384,resnet50
41,4680,0.885673,0.0001432249371823025,256,resnet101
42,2360,0.88529,0.0005105903209394755,128,resnet18
43,1160,0.884421,0.0008927180304353625,256,resnet101
44,1680,0.883708,0.0005105903209394755,384,resnet34
45,2140,0.883009,0.00023688639503640778,256,resnet50
46,2220,0.882389,0.00014321698289111517,256,resnet101
47,1600,0.881647,0.0001432249371823025,256,resnet50
48,4280,0.881257,0.0001432249371823025,128,resnet18
49,840,0.880995,0.00039687933304443713,256,resnet18
50,1540,0.879775,0.00014321698289111517,256,resnet50
51,2660,0.879465,0.0001143098387631322,256,resnet50
52,2360,0.87826,0.00039687933304443713,384,resnet18
53,2300,0.8781,0.00014321698289111517,384,resnet50
54,1320,0.87757,0.0005395030966670228,768,resnet18
55,2440,0.876477,0.0001432249371823025,384,resnet50
56,4980,0.876375,0.0001143098387631322,128,resnet18
57,1520,0.87633,0.00039687933304443713,128,resnet18
58,2380,0.876219,0.00039913058785616786,128,resnet18
59,2280,0.875892,0.00014321698289111517,128,resnet18
60,4740,0.875796,0.0001143098387631322,128,resnet34
61,2080,0.875357,0.0005105903209394755,640,resnet18
62,1200,0.872558,0.0007348118405270448,768,resnet18
63,4920,0.871756,0.0001432249371823025,128,resnet34
64,500,0.871173,0.0008927180304353625,256,resnet34
65,840,0.871045,0.00039913058785616786,640,resnet18
66,2440,0.871029,0.00023688639503640778,128,resnet18
67,740,0.870809,0.0008927180304353625,640,resnet18
68,660,0.86797,0.0007348118405270448,256,resnet18
69,3320,0.867956,0.00023688639503640778,128,resnet34
70,1560,0.867883,0.00039913058785616786,384,resnet34
71,660,0.86761,0.0007348118405270448,384,resnet18
72,3960,0.867588,0.00014321698289111517,128,resnet34
73,2840,0.867216,0.00023688639503640778,384,resnet18
74,1560,0.866848,0.00039687933304443713,256,resnet34
75,700,0.866417,0.0005105903209394755,256,resnet18
